athlete_full_name,country_id,athlete_id
Haruka ENOMOTO,122.0,1
Hazuki MIYAMOTO,122.0,2
Clarissa JOHNSTON,84.0,3
Laura STRUGNELL,84.0,4
Mussa CHAMAUNE,115.0,5
Joaquim LOBO,115.0,6
Ronja STURM,29.0,7
Marie-Louise DRAGER,29.0,8
Shixiao XU,19.0,9
Mengya SUN,19.0,10
Elena VESNINA,92.0,11
Aslan KARATSEV,92.0,12
Ashleigh BARTY,7.0,13
Storm SANDERS,7.0,14
Anna SHEVCHENKO,82.0,15
Valeriya TYULENEVA,82.0,16
Matias BUHLER,32.0,17
Nathalie BRUGGER,32.0,18
Ola Vigen HATTESTAD,18.0,19
Petter NORTHUG JR.,18.0,20
Nikolay CHEBOTKO,82.0,21
Alexey POLTORANIN,82.0,22
Jeinkler AGUIRRE,46.0,23
Jose Antonio GUERRA OLIVA,46.0,24
Jacky Jamael NASCIMENTO GODMANN,56.0,25
Isaquias QUEIROZ DOS SANTOS,56.0,26
Marcus ELLIS,131.0,27
Lauren SMITH,131.0,28
Anastasia PAVLYUCHENKOVA,92.0,29
Andrey Rublev,92.0,30
Lukas BROZ,50.0,31
Antonin BROZ,50.0,32
Evgenia UKOLOVA,27.0,33
Yekaterina Khomyakova-Birlova,27.0,34
Natalia ISHCHENKO,27.0,35
Svetlana ROMASHINA,27.0,36
Julien DORTOLI,54.0,37
Noe DELPECH,54.0,38
Jack LAUGHER,131.0,39
Chris MEARS,131.0,40
Novak DJOKOVIC,37.0,41
Nenad ZIMONJIC,37.0,42
Filip VEJDELEK,50.0,43
Zdenek PEKNY,50.0,44
Alicia HOSKIN,92.0,45
Teneale HATTON,92.0,46
Matthew MORTENSEN,71.0,47
Jayson TERDIMAN,71.0,48
Artur MIKOLAJCZEWSKI,14.0,49
Milosz JANKOWSKI,14.0,50
Evangelia PAPAZOGLOU,84.0,51
Evangelia PLATANIOTI,84.0,52
Jovina CHOO,62.0,53
Amanda NG,62.0,54
Joachim FISCHER NIELSEN,118.0,55
Christinna PEDERSEN,118.0,56
Colin FLEMING,131.0,57
Dominic INGLOT,131.0,58
Bethanie MATTEK-SANDS,71.0,59
Coco VANDEWEGHE,71.0,60
Sara HURTADO,127.0,61
Adrian DIAZ,127.0,62
Jennifer ABEL,81.0,63
Emilie HEYMANS,81.0,64
Oleksii KRASOVSKYI,36.0,65
Ruslan PEREKHODA,36.0,66
Yaroslava SHVEDOVA,82.0,67
Andrey GOLUBEV,82.0,68
Leo TAKAHASHI,122.0,69
Ibuki KOIZUMI,122.0,70
