index,game_name,game_season,game_year,start_date_str,end_date_str,country_id
0,Beijing 2022,Winter,2022,2022-02-04 16:00:00,2022-02-20 13:00:00,19.0
1,Tokyo 2020,Summer,2020,2021-07-23 13:00:00,2021-08-08 16:00:00,122.0
2,PyeongChang 2018,Winter,2018,2018-02-09 00:00:00,2018-02-25 09:00:00,20.0
3,Rio 2016,Summer,2016,2016-08-05 14:00:00,2016-08-21 23:00:00,56.0
4,Sochi 2014,Winter,2014,2014-02-07 05:00:00,2014-02-23 17:00:00,27.0
5,London 2012,Summer,2012,2012-07-27 09:00:00,2012-08-12 21:00:00,131.0
6,Vancouver 2010,Winter,2010,2010-02-12 17:00:00,2010-02-28 05:00:00,81.0
7,Beijing 2008,Summer,2008,2008-08-08 02:00:00,2008-08-24 14:00:00,19.0
8,Turin 2006,Winter,2006,2006-02-10 08:00:00,2006-02-26 20:00:00,90.0
9,Athens 2004,Summer,2004,2004-08-13 08:00:00,2004-08-29 20:00:00,84.0
10,Salt Lake City 2002,Winter,2002,2002-02-08 16:00:00,2002-02-24 09:00:00,71.0
11,Sydney 2000,Summer,2000,2000-09-15 03:00:00,2000-10-01 11:00:00,7.0
12,Nagano 1998,Winter,1998,1998-02-07 00:00:00,1998-02-22 12:00:00,122.0
13,Atlanta 1996,Summer,1996,1996-07-19 14:00:00,1996-08-05 23:00:00,71.0
14,Lillehammer 1994,Winter,1994,1994-02-12 08:00:00,1994-02-27 20:00:00,18.0
15,Barcelona 1992,Summer,1992,1992-07-25 08:00:00,1992-08-09 20:00:00,127.0
16,Albertville 1992,Winter,1992,1992-02-08 08:00:00,1992-02-23 20:00:00,54.0
17,Seoul 1988,Summer,1988,1988-09-17 00:00:00,1988-10-02 11:00:00,20.0
18,Calgary 1988,Winter,1988,1988-02-13 16:00:00,1988-02-28 04:00:00,81.0
19,Los Angeles 1984,Summer,1984,1984-07-28 17:00:00,1984-08-12 21:00:00,71.0
20,Sarajevo 1984,Winter,1984,1984-02-08 08:00:00,1984-02-19 20:00:00,124.0
21,Moscow 1980,Summer,1980,1980-07-19 07:00:00,1980-08-03 20:00:00,27.0
22,Lake Placid 1980,Winter,1980,1980-02-13 14:00:00,1980-02-24 02:00:00,71.0
23,Montreal 1976,Summer,1976,1976-07-17 14:00:00,1976-08-01 00:00:00,81.0
24,Innsbruck 1976,Winter,1976,1976-02-04 08:00:00,1976-02-15 20:00:00,94.0
25,Munich 1972,Summer,1972,1972-08-26 08:00:00,1972-09-11 20:00:00,137.0
26,Sapporo 1972,Winter,1972,1972-02-03 00:00:00,1972-02-13 12:00:00,122.0
27,Mexico City 1968,Summer,1968,1968-10-12 17:00:00,1968-10-28 05:00:00,85.0
28,Grenoble 1968,Winter,1968,1968-02-06 08:00:00,1968-02-18 20:00:00,54.0
29,Tokyo 1964,Summer,1964,1964-10-10 00:00:00,1964-10-24 12:00:00,122.0
30,Innsbruck 1964,Winter,1964,1964-01-29 08:00:00,1964-02-09 20:00:00,94.0
31,Rome 1960,Summer,1960,1960-08-25 08:00:00,1960-09-11 20:00:00,90.0
32,Squaw Valley 1960,Winter,1960,1960-02-18 17:00:00,1960-02-28 05:00:00,71.0
33,Melbourne 1956,Summer,1956,1956-11-21 23:00:00,1956-12-08 11:00:00,
34,Cortina d'Ampezzo 1956,Winter,1956,1956-01-26 08:00:00,1956-02-05 20:00:00,90.0
35,Helsinki 1952,Summer,1952,1952-07-19 08:00:00,1952-08-03 08:00:00,110.0
36,Oslo 1952,Winter,1952,1952-02-14 08:00:00,1952-02-25 20:00:00,18.0
37,London 1948,Summer,1948,1948-07-29 08:00:00,1948-08-14 20:00:00,131.0
38,St. Moritz 1948,Winter,1948,1948-01-30 08:00:00,1948-02-08 20:00:00,32.0
39,Berlin 1936,Summer,1936,1936-08-01 08:00:00,1936-08-16 20:00:00,29.0
40,Garmisch-Partenkirchen 1936,Winter,1936,1936-02-06 08:00:00,1936-02-16 20:00:00,29.0
41,Los Angeles 1932,Summer,1932,1932-07-30 17:00:00,1932-08-14 20:00:00,71.0
42,Lake Placid 1932,Winter,1932,1932-02-04 13:00:00,1932-02-15 18:00:00,71.0
43,Amsterdam 1928,Summer,1928,1928-05-17 08:00:00,1928-08-12 20:00:00,61.0
44,St. Moritz 1928,Winter,1928,1928-02-11 08:00:00,1928-02-19 08:00:00,32.0
45,Paris 1924,Summer,1924,1924-05-04 08:00:00,1924-07-27 20:00:00,54.0
46,Chamonix 1924,Winter,1924,1924-01-25 08:00:00,1924-02-05 20:00:00,54.0
47,Antwerp 1920,Summer,1920,1920-04-20 08:00:00,1920-09-12 20:00:00,72.0
48,Stockholm 1912,Summer,1912,1912-05-05 08:00:00,1912-07-27 20:00:00,1.0
49,London 1908,Summer,1908,1908-04-27 08:09:21,1908-10-31 20:18:21,131.0
50,St. Louis 1904,Summer,1904,1904-07-01 14:09:21,1904-11-24 02:09:21,71.0
51,Paris 1900,Summer,1900,1900-05-14 09:00:00,1900-10-28 20:00:00,54.0
52,Athens 1896,Summer,1896,1896-04-06 11:48:00,1896-04-15 11:49:00,84.0
