discipline_title,slug_game,event_title,event_gender,medal_type,participant_type,athlete_country_id,athlete_id
Canoe Sprint,tokyo-2020,Women's Canoe Double 500m,Women,GOLD,GameTeam,19.0,9
Canoe Sprint,tokyo-2020,Women's Canoe Double 500m,Women,GOLD,GameTeam,19.0,10
Tennis,rio-2016,doubles women,Women,GOLD,GameTeam,92.0,11
Tennis,tokyo-2020,Mixed Doubles,Mixed,SILVER,GameTeam,92.0,11
Tennis,tokyo-2020,Mixed Doubles,Mixed,SILVER,GameTeam,92.0,12
Tennis,tokyo-2020,Mixed Doubles,Mixed,BRONZE,GameTeam,7.0,13
Cross Country Skiing,sochi-2014,Sprint 15km men,Men,GOLD,Athlete,18.0,19
Cross Country Skiing,vancouver-2010,Sprint 15km men,Men,BRONZE,Athlete,18.0,20
Cross Country Skiing,vancouver-2010,50km men,Men,GOLD,Athlete,18.0,20
Cross Country Skiing,vancouver-2010,Team sprint men,Men,GOLD,GameTeam,18.0,20
Canoe Sprint,rio-2016,C-1 1000m (canoe single) men,Men,SILVER,Athlete,56.0,26
Canoe Sprint,rio-2016,C-2 1000m (canoe double) men,Men,SILVER,GameTeam,56.0,26
Canoe Sprint,rio-2016,C-1 200m (canoe single) men,Men,BRONZE,Athlete,56.0,26
Canoe Sprint,tokyo-2020,Men's Canoe Single 1000m,Men,GOLD,Athlete,56.0,26
Badminton,rio-2016,doubles men,Men,BRONZE,GameTeam,131.0,27
Tennis,tokyo-2020,Mixed Doubles,Mixed,GOLD,GameTeam,92.0,29
Tennis,tokyo-2020,Mixed Doubles,Mixed,GOLD,GameTeam,92.0,30
Synchronized Swimming,london-2012,duet women,Women,GOLD,GameTeam,27.0,35
Synchronized Swimming,rio-2016,duet women,Women,GOLD,GameTeam,27.0,35
Synchronized Swimming,london-2012,duet women,Women,GOLD,GameTeam,27.0,36
Synchronized Swimming,rio-2016,duet women,Women,GOLD,GameTeam,27.0,36
Artistic Swimming,tokyo-2020,Duet,Women,GOLD,GameTeam,27.0,36
Diving,rio-2016,synchronized diving 3m springboard men,Men,GOLD,GameTeam,131.0,39
Diving,rio-2016,3m springboard men,Men,SILVER,Athlete,131.0,39
Diving,tokyo-2020,Men's 3m Springboard,Men,BRONZE,Athlete,131.0,39
Diving,rio-2016,synchronized diving 3m springboard men,Men,GOLD,GameTeam,131.0,40
Tennis,beijing-2008,Singles men,Men,BRONZE,Athlete,37.0,41
Badminton,london-2012,Doubles mixed,Mixed,BRONZE,GameTeam,118.0,55
Badminton,london-2012,Doubles mixed,Mixed,BRONZE,GameTeam,118.0,56
Badminton,rio-2016,doubles women,Women,SILVER,GameTeam,118.0,56
Tennis,rio-2016,mixed doubles mixed,Mixed,GOLD,GameTeam,71.0,59
Diving,london-2012,synchronized diving 3m springboard women,Women,BRONZE,GameTeam,81.0,63
Diving,tokyo-2020,Women's Synchronised 3m Springboard,Women,SILVER,GameTeam,81.0,63
Diving,sydney-2000,synchronized diving 10m platform women,Women,SILVER,GameTeam,81.0,64
Diving,athens-2004,synchronized diving 10m platform women,Women,BRONZE,GameTeam,81.0,64
Diving,beijing-2008,10m platform women,Women,SILVER,Athlete,81.0,64
Diving,london-2012,synchronized diving 3m springboard women,Women,BRONZE,GameTeam,81.0,64
Canoe Sprint,rio-2016,C-2 1000m (canoe double) men,Men,SILVER,GameTeam,56.0,75
Tennis,tokyo-2020,Men's Singles,Men,SILVER,Athlete,92.0,102
Sailing,tokyo-2020,Nacra 17 Mixed,Mixed,BRONZE,GameTeam,29.0,105
Sailing,tokyo-2020,Nacra 17 Mixed,Mixed,BRONZE,GameTeam,29.0,106
Diving,rio-2016,synchronized diving 10m platform women,Women,SILVER,GameTeam,33.0,119
Diving,london-2012,10m platform women,Women,BRONZE,Athlete,33.0,120
Diving,rio-2016,synchronized diving 10m platform women,Women,SILVER,GameTeam,33.0,120
Cross Country Skiing,pyeongchang-2018,Men�s Sprint Classic,Men,SILVER,Athlete,90.0,131
Cross Country Skiing,beijing-2022,Men's Sprint Free,Men,SILVER,Athlete,90.0,131
Sailing,athens-2004,470 - Two Person Dinghy women,Women,GOLD,GameTeam,84.0,138
Shooting,tokyo-2020,Trap women,Women,SILVER,Athlete,71.0,140
